ID возврата/невыкупа,Номер заказа,Тип (Невыкуп/Возврат),Логистический статус,Статус возврата денег,Дата создания,Дата обновления,Срок хранения (до),Сумма,Валюта,Способ возврата,Название ПВЗ/Склада,Товары (Ваш SKU : кол-во)
26309917,56887452802,RETURN,PICKED,REFUNDED,2026-05-13T18:59:59.865+03:00,2026-05-18T16:35:42.849+03:00,,654,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,NAV-CANV-4040-MLK (2 шт.)
104756977,56759116545,UNREDEEMED,PICKED,,2026-05-12T13:43:55.907+03:00,2026-05-18T16:34:42.743+03:00,,3556,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-260700 (1 шт.)
26277324,56647072323,RETURN,PICKED,REFUNDED,2026-05-10T21:55:35.323+03:00,2026-05-18T16:34:42.692+03:00,,743,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-100100 (1 шт.)
105090105,56870990465,UNREDEEMED,PICKED,,2026-05-15T13:11:11.834+03:00,2026-05-18T16:34:42.452+03:00,,2442,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-265350LR (1 шт.)
26218100,56377424897,RETURN,PICKED,REFUNDED,2026-05-05T12:25:07.41+03:00,2026-05-18T16:34:42.768+03:00,,3141,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-290500 (1 шт.)
104438481,56726992258,UNREDEEMED,PICKED,,2026-05-09T00:56:31.098+03:00,2026-05-18T16:34:41.821+03:00,,5390,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CASA-270150-OLIV (1 шт.)
105295094,57139841024,UNREDEEMED,PICKED,,2026-05-17T12:52:31.004+03:00,2026-05-18T16:34:31.406+03:00,,1474,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-250150LR(Grey) (2 шт.)
104938794,56969491906,UNREDEEMED,PICKED,,2026-05-13T22:53:44.077+03:00,2026-05-18T16:34:31.399+03:00,,4610,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CANT-260300-LGR (1 шт.)
26661845,57926622082,RETURN,PICKED,REFUNDED,2026-06-12T12:12:42.591+03:00,2026-06-19T11:37:31.677+03:00,,3778,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-230200LR(Milk) (2 шт.)
26652450,57857760192,RETURN,PICKED,REFUNDED,2026-06-11T15:39:54.868+03:00,2026-06-19T11:37:21.575+03:00,,4118,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ALBA-250250-SIL (1 шт.)
108189773,57319458434,UNREDEEMED,PICKED,,2026-06-13T00:05:47.225+03:00,2026-06-19T11:37:21.048+03:00,,1793,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-245250(Shamp) (1 шт.)
26686281,57927890368,RETURN,PICKED,REFUNDED,2026-06-14T14:46:43.555+03:00,2026-06-19T11:37:21.636+03:00,,2555,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ALBA-245150-LGR (1 шт.)
108368457,57732730624,UNREDEEMED,PICKED,,2026-06-14T20:00:03.978+03:00,2026-06-19T11:37:08.895+03:00,,5217,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CASA-265150-BLUE (1 шт.)
26663150,57892073923,RETURN,PICKED,REFUNDED,2026-06-12T13:48:15.918+03:00,2026-06-19T11:37:01.511+03:00,,1552,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-100250LR(Grey) (1 шт.)
26697998,57998192384,RETURN,PICKED,REFUNDED,2026-06-15T13:49:38.548+03:00,2026-06-22T19:52:52.879+03:00,,4378,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CALM-285150-MLK (1 шт.)
108463266,57901004994,UNREDEEMED,PICKED,,2026-06-15T18:32:08.979+03:00,2026-06-22T19:52:50.106+03:00,,4118,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ALBA-245250-MLK (1 шт.)
108458622,57795813955,UNREDEEMED,PICKED,,2026-06-15T17:58:38.34+03:00,2026-06-22T19:52:49.699+03:00,,4541,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ALBA-250300-B (1 шт.)
