Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA CASA,Шторы интерьерные,2044039075569,420226112,51958156165,50505227682,,Выдано,2026-04-06 09:40:14,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4834993892,mp.56dde1b79aae4f5698410d343b27a4af.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423863,176487138,52080172241,42548508588,,Выдано,2026-05-17 09:34:52,2026-05-18 16:39:59,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4845246857,mp.6a049ef5397a4140a0744667b645fda4.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2037547868464,149517352,52007153597,50585725708,,Выдано,2026-04-06 09:40:29,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4840809521,mp.6f3ef37d093d4f65aa13221000d7d059.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040413487560,237988932,52189671667,48683111166,,Выдано,2026-04-06 16:08:59,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4853362653,mp.836ff26c7c4e456793343956d5b64185.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423863,176487138,52080172244,42548508580,,Выдано,2026-05-17 09:34:50,2026-05-18 16:39:59,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4845246854,mp.94a57923ed5a47e79d9b153438868619.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048879915,345232934,52177376991,50505278911,,Выдано,2026-04-21 15:17:20,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4851599682,mp.c3fae4a213594eadb4b70542bd3c5af7.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749261842,396849766,52122766667,49402797961,,Выдано,2026-04-08 11:50:39,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4848952652,mp.d02c85194e184b25a0eb077a3d84c1a0.r,"Тверь, Улица Вагжанова 21",211256
Adriana's Home,Наволочки декоративные,2049914349292,911149655,52190491009,51284073411,,Выдано,2026-04-06 09:50:16,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4854182550,mp.ddbba9b02c4149afaae77fc378a13d98.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040413487508,237988959,52189559627,49413348708,,Выдано,2026-04-06 09:43:11,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4853250538,mp.e30ec8c861d34337af7726e5d44f4ea1.r,"Тверь, Улица Вагжанова 21",211256
Adriana's Home,Наволочки декоративные,2049914349292,911149655,52190491493,51284073407,,Выдано,2026-04-06 09:52:46,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4854183167,mp.e3dfbdd99dcb4718a002626efe841b68.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038557672126,175636663,52122802318,50679075843,,Выдано,2026-04-07 09:36:32,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4848988573,mp.ebd7585b340b40e0b5ab4519e44682c6.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597423863,176487138,52080172240,42548508584,,Выдано,2026-05-17 09:34:54,2026-05-18 16:39:59,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4845246855,mp.ed8644605f9b4670be316a093d12611f.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040586045536,241713064,52102514747,51209024351,,Выдано,2026-04-09 16:16:30,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4847948077,mp.1266c174b420475cbe78eb3f1a1cc50c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038557672201,175636656,51783026078,50414932062,,Выдано,2026-04-11 09:07:09,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4824587960,mp.277ca4fb4ef0400ea520859e30feb50b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266805,244447348,52253828143,49092640555,,Выдано,2026-04-06 09:45:43,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4861826127,mp.332de42e64b54953a447f4e00121931c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755196438,220985889,51882790320,51369430196,,Выдано,2026-04-09 09:39:20,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4831396337,mp.3c4b035df3f741a7a88112d777f424c2.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2037547963725,149518457,51782712711,49409674528,,Выдано,2026-04-10 11:17:20,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4824274316,mp.9358687a72174c969f33f5419fd01f8c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545204301,149406550,51324519249,49424051449,,Выдано,2026-04-07 10:01:22,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4794285474,mp.a58f1a3925964db689f470cc1e7139bb.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038557672331,175636643,51783026079,50414932066,,Выдано,2026-04-11 09:07:06,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-04,,4824587959,mp.c6f992dac0604d7d9789a7bfaa30bf54.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038563749690,175735942,43191326632,38990858402,,Выдано,2026-04-21 11:16:20,2026-04-23 13:15:45,,Возврат брака,2026-04-05,,0,53168c8aaf01463d82fb7455bd69f2bc,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2019921024086,62010297,52251041690,51205058421,,Выдано,2026-04-08 09:28:50,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4859538439,mp.037f944dcfb24829bf5fa3622ef29419.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044507018623,120370282,52152764701,48782858459,,Выдано,2026-04-12 09:05:23,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4849602747,mp.0d160b60f38b48ad9d87bd33c73c3244.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040413487898,237988794,52003710697,51266826402,,Выдано,2026-04-08 09:50:34,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4839909560,mp.2eceb3d575f74f468d07de105b7c14c7.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2039905557843,227786158,52010307961,51226828794,,Выдано,2026-04-14 14:33:32,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4843463846,mp.423cad61096040fab5f917b3de9aa1a6.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044507018623,120370282,52152764707,52152764707,,Выдано,2026-04-12 09:04:47,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4849602745,mp.8af5cd59483140be8357a48177f4f55b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2036894060453,106109274,52246852660,50676259523,,Выдано,2026-04-10 11:31:38,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4858821043,mp.a39796759b124e6cb7e1b5893fb7c1e6.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040849051243,249874667,52122802319,50679076467,,Выдано,2026-04-09 09:51:10,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4848988574,mp.af6c91208d3447efb82eceb4308ae259.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2039905558031,227786120,52152910514,48795930858,,Выдано,2026-04-07 09:37:36,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4849749203,mp.fa3799b3eb4d42fbaad81b322d7f60f6.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277083,246980174,52252625989,50475311038,,Выдано,2026-04-07 09:58:34,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-05,,4861123287,mp.ff1350c9a89c4494a1960467ee30c749.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042477266624,117943127,50727550898,49093818543,,Выдано,2026-04-07 18:05:46,2026-04-10 11:07:37,,Возврат товара продавцу по отзыву,2026-04-06,,0,c3f7b589c2d7457a8b2bb9f1f0693849,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2020383265016,63200845,51640354461,42825656688,,Выдано,2026-04-11 18:48:55,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-06,,4812813201,mp.1e37103f0bb84f92b786319927442506.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040637382634,242971088,51172096740,51172096740,,Выдано,2026-04-13 09:52:59,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-06,,4779192376,mp.2a970cd0aadf4c6290bc049ccd3f89c9.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040881379602,250639446,52251047336,47144224237,,Выдано,2026-04-09 12:19:17,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-06,,4859544086,mp.34f4117572c74e77b489f8492e004f5c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480439,181095867,51907456431,51142928125,,Выдано,2026-04-08 09:43:44,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-06,,4832017628,mp.681e61ade933435fbb0be6ce3dc28eb0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810902,188397381,51356186869,50653003916,,Выдано,2026-04-11 18:43:29,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-06,,4795256226,mp.a1552d7bec5f46dd89e07efbde86fa5f.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040637382634,242971088,51172096739,51172096739,,Выдано,2026-04-13 09:53:09,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-06,,4779192375,mp.a24fac9a4ca64337b2290466504045b0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480828,181095957,52250539016,50492125628,,Выдано,2026-04-11 18:42:45,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4859033594,mp.06c8bcf6a66f4bf38df800746d10f583.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755196551,220985938,52376518700,52376518700,,Выдано,2026-04-10 09:56:30,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4871030591,mp.1b7c0f9ee2ec43259a417f23aeb8b227.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040586045468,241713243,52235515647,50848734731,,Выдано,2026-04-13 09:53:15,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4857515788,mp.22c321f4999944ddb8d062fe06b25e79.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040586045468,241713243,52235515643,50848734727,,Выдано,2026-04-12 16:51:45,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4857515787,mp.4660bac9ed63430d91a0f2af20896e69.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810704,188397355,52382955063,52382955063,,Выдано,2026-04-11 18:50:10,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4872139967,mp.57ba08517d3e4dc4ad45ae01cf3495e4.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ALLEGRO,Тюль,2042959576685,338817655,52371426331,49111824906,,Выдано,2026-04-10 09:56:45,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4869063526,mp.6bb270fe23674837a67669f2defb4686.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561335,246094612,52177289166,50993978479,,Выдано,2026-04-18 09:55:51,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4851511770,mp.7f965bd7bf63448188695570d14d878a.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040388383225,237500215,52279488935,51065850515,,Выдано,2026-04-10 11:28:32,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4862751899,mp.81a5314c9d1845a3ac798fe3a5343023.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2037265280715,139218588,52314397837,48957166946,,Выдано,2026-04-10 11:25:35,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4866178197,mp.87e4526b98e44470aea68f865b20f503.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755196551,220985938,52376518705,52376518705,,Выдано,2026-04-10 09:56:33,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4871030593,mp.8ed145faf39f40e8bc5b3a0a692e6a78.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755196551,220985938,52376518702,52376518702,,Выдано,2026-04-10 09:56:36,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4871030592,mp.934a5ce947174d06aaa1ebb0ee564b96.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122925,220984216,52235515644,50848734743,,Выдано,2026-04-13 13:24:17,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4857515784,mp.9989734881874cccb14b6a245c0b73ff.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277403,246980223,52313599404,48673217265,,Выдано,2026-04-12 09:14:49,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4865379091,mp.b826adaf662245ca8b2306dbc0f0740e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048927912738,820169052,52250396022,50683460880,,Выдано,2026-04-10 17:41:06,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4858889900,mp.bd45bf5ba174480f8b5c7a87393ced66.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755196551,220985938,52376518751,52376518751,,Выдано,2026-04-10 09:56:41,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4871030645,mp.c689eac46f4f4dcfbab7698b2a6183eb.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561335,246094612,52320141031,51544976086,,Выдано,2026-04-11 18:49:41,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-07,,4866788892,mp.e5478bd1e90d401d983e7973d8732465.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480552,181096009,44380296667,48684076366,,Выдано,2026-04-11 08:51:12,2026-04-14 11:02:34,,Возврат брака,2026-04-08,,0,10039e631ec64542b6cdabd93417c6aa,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810261,188397274,48087232863,48684076370,,Выдано,2026-04-11 08:51:19,2026-04-14 11:02:34,,Возврат брака,2026-04-08,,0,a78c6bc954ab4a49ad8383846c26ce42,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681265778,244447166,52388113774,50526378763,,Выдано,2026-04-10 17:44:42,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4872284306,mp.07c5979c8885430598527fa2dfbb03ff.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266874,244447246,52279527031,48831934643,,Выдано,2026-04-13 09:58:28,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4862790016,mp.1ae392dc0711432bbca4f6363083c9f3.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040519491348,240119815,52477392833,50663293928,,Выдано,2026-04-10 09:56:23,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4880156555,mp.1e3cf4949aa9479087a9f63ca04c3969.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ALLEGRO,Тюль,2037411098676,144450061,52398580239,50641342395,,Выдано,2026-04-11 08:56:19,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4876105304,mp.240913e73d3e4542812922d89ff2e66d.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561526,246094418,52235428666,50644321191,,Выдано,2026-04-10 09:55:02,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4857428215,mp.3d5bdc0a0aaa4778a251fe6625ee4ebf.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040334480923,236899108,52477393552,50663293856,,Выдано,2026-04-10 09:46:01,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4880157273,mp.4acc1cdab44a431aa73c6efe0787d4d1.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040334480923,236899108,52477393548,50663293852,,Выдано,2026-04-10 09:54:55,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4880157274,mp.5b47756afde246b8a396d8b201c68975.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044564825622,120459498,52382718011,50384211195,,Выдано,2026-04-11 08:55:11,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4871903878,mp.8f38da6af8ab444aa86abbeee7cafc21.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597725233,176496502,52310806033,50420848489,,Выдано,2026-04-12 09:19:49,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4864205403,mp.95d10c56797a4d30af5e4ac8d639ff27.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042473502627,117936572,52477394917,50663293860,,Выдано,2026-04-10 09:47:45,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4880158647,mp.a218b93b549a4ddbb1dcb106cee06175.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040519491348,240119815,52477392837,50663293932,,Выдано,2026-04-10 09:56:26,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4880156556,mp.a7bfc9002e99400aa83fd825f42a01c8.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044564825622,120459498,52382718008,50384211207,,Выдано,2026-04-11 08:54:54,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4871903877,mp.a9909326c0cd40cea659313df2263bdd.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044564825622,120459498,52382718010,50384211199,,Выдано,2026-04-11 08:54:52,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4871903876,mp.c5f78ec543dd476798eaf29bb7776e87.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044564825622,120459498,52382717994,50384211203,,Выдано,2026-04-11 08:55:19,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4871903862,mp.c61c1bcb27cc47bc8a5cd59fa9b154aa.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ALLEGRO,Тюль,2037411098676,144450061,52398580241,50641342399,,Выдано,2026-04-11 08:54:43,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4876105306,mp.f055d29ee64c42ba94b8bac3393c871a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042473502627,117936572,52477394920,50663293864,,Выдано,2026-04-10 11:11:11,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-08,,4880158648,mp.f98278dc4efc43a9a8c4221d1f884689.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277793,246980119,52382962648,52382962648,,Выдано,2026-04-12 17:05:17,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-09,,4872147559,mp.36bfd1c017b34baf84835029e73e75e1.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075644,420226121,52435218521,49341767417,,Выдано,2026-04-12 09:23:59,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-09,,4877422082,mp.b6de36274e6d4c8fa999ec08ad86d5aa.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075644,420226121,52435218524,49341767413,,Выдано,2026-04-12 09:18:42,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-09,,4877422083,mp.bb3e2f95b30a47e6a3639a5fc926b0cf.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044505669629,120365889,52476983103,23104139708,,Выдано,2026-04-12 09:09:03,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-09,,4879746249,mp.cedd07d8845f494ead82ab2f800417a4.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277373,246980485,52259789524,48687853999,,Выдано,2026-04-15 14:34:56,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-09,,4862197185,mp.d5013926f64a4bf28712db6e9067043f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647285,244226784,52436133182,51130770612,,Выдано,2026-04-12 12:03:28,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-09,,4877768462,mp.f33e6d704aa145c2867a5facac4cdb31.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA PRESTO,Тюль,2037262852977,139115428,52251468130,50675521663,,Выдано,2026-04-16 09:21:55,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4859965544,mp.15c8de8f0db64826b7a2a33c47a8df7b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122673,220984085,52476725767,51376893444,,Выдано,2026-04-16 09:08:10,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4879488651,mp.300875847fbd4b97bef1d7c34532e5d1.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042475378626,117939346,52371502314,51251684799,,Выдано,2026-04-16 09:20:28,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4869139537,mp.3c2ed7e9569f4e448197ae8d44cfc01f.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040769367363,247049486,52489341518,43115119868,,Выдано,2026-04-13 13:44:17,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4882416370,mp.4f04b8d6730e4de695a63a1c2f83a9db.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2039900617450,227577869,52546143245,50560176070,,Выдано,2026-04-12 12:04:25,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4884849914,mp.6d36c9e60eee4f0490011d521d178005.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042616738623,118054561,52506478946,49249397622,,Выдано,2026-04-13 09:58:54,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4882712895,mp.6e6446b20e9d41539e60e5b28f0515a2.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040769367363,247049486,52489341522,43115119864,,Выдано,2026-04-13 13:44:14,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4882416371,mp.71f95a09812f4d2480b9f6c448766611.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040848774914,249850127,52435026315,50679185795,,Выдано,2026-04-15 14:50:01,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4877230107,mp.9993e58b967e413fb14748e3131ec781.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040334481326,236899232,52546143248,50560176066,,Выдано,2026-04-12 12:04:36,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4884849921,mp.b308adf92a7e44e39f2e1c0f86b84952.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681267062,244447350,52545960538,48828980908,,Выдано,2026-04-16 09:08:47,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4884668124,mp.d2e8d4b6ea2a4eeda67593828f88a784.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040861194355,250207932,52435026314,50679185799,,Выдано,2026-04-15 14:49:43,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4877230106,mp.dd3a731c85df4996bf22edc9b41e2618.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048927912707,820169051,52582636674,47149942877,,Выдано,2026-04-12 12:17:39,2026-04-14 11:02:34,,"Возврат товара, который приехал по МП, продавцу",2026-04-10,,4887932455,mp.ffbce51d0f414be8b63acecf19956ffe.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276314,246980314,52382822341,51369403472,,Выдано,2026-04-18 12:24:07,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-11,,4872008201,mp.11092b9736734fc9b18dfc23b60705b2.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647711,244226801,52557830799,49397041466,,Выдано,2026-04-16 17:53:36,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-11,,4886016628,mp.41416db70e0e4e7cad9c3112dfa3d29b.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2039900617290,227577714,52101641632,52101641632,,Выдано,2026-04-14 16:50:32,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-11,,4847075286,mp.60eebbece964436199c793d2f269942b.r,"Тверь, Улица Вагжанова 21",211256
